KldbCode,code,Classification 2 PrefLabel
B 93642-101,7312.3.1,Klavier- und Cembalobauer/Klavier- und Cembalobauerin Fachrichtung Cembalobau
B 91244-112,2632.1.2,Medienwissenschaftler/Medienwissenschaftlerin
B 12101-105,9214.2,Helfer/Helferin im Gartenbau
B 94413-101,3435.22,Inspizient/Inspizientin
B 29222-101,7512.1,Bäcker/Bäckerin
B 63222-109,4229.2,"Portier (Gaststätte, Hotel)"
B 63403-107,3332.2,Event-Manager/Event-Managerin
B 28143-100,8154.1,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Textilveredelung
B 11102-107,8341.2,Fachkraft Agrarservice
B 52512-103,8341.2,Landmaschinenführer/Landmaschinenführerin
B 42114-105,2142.1.4,Ingenieur/Ingenieurin für Geotechnik
B 11102-100,6130.2,Landwirt/Landwirtin
B 26382-143,7543.7.3,Elektroprüfer/Elektroprüferin
B 42144-102,2112.1,Meteorologe/Meteorologin
B 53132-105,5411.1.1,Werkfeuerwehrmann/Werkfeuerwehrfrau
B 28312-101,7535.2,Gerber/Gerberin
B 28312-178,7535.2,Fachkraft für Lederherstellung und Gerbereitechnik
B 51133-102,7421.4,Schiffselektrotechniker/Schiffselektrotechnikerin
B 94383-100,2659.2.2,Diskjockey
B 24222-100,7223.4.2,CNC-Schleifer/CNC-Schleiferin
B 24222-103,7223.4.2,Metallschleifer/Metallschleiferin
B 24222-107,7223.4.2,Schleifer/Schleiferin
B 24222-106,7223.4.2,Zerspanungsmechaniker/Zerspanungsmechanikerin Fachrichtung Schleiftechnik
B 61124-149,1221.3.2.1.4,Digital-Sales-Manager/Digital-Sales-Managerin
B 29112-100,8160.7,Brauer und Mälzer/Brauerin und Mälzerin
B 52532-114,8343.3,Mobil- und Autokranführer/Mobil- und Autokranführerin
B 72243-101,4312.1,Assistent für Wirtschaftsprüfung/Assistentin für Wirtschaftsprüfung
B 51543-101,3152.3,Lotse/Lotsin
B 91234-105,2632.2,Archäologe/Archäologin
B 71524-108,3339.6,Relocation-Specialist/Relocation-Manager / Relocation-Specialist/Relocation-Managerin
B 33342-109,7125.2,Fahrzeugglaser/Fahrzeugglaserin
B 63293-103,5152.1,Pensionsleiter/Pensionsleiterin
B 53342-102,7544.1,Schädlingsbekämpfer/Schädlingsbekämpferin
B 32262-106,9312.1.6,Wasserbauer/Wasserbauerin
B 26252-119,7543.7.4,Elektroniker/Elektronikerin - Prüffeld
B 24132-102,7223.13,Gießereimechaniker/Gießereimechanikerin Fachrichtung Maschinenformguss
B 24132-173,7223.13,Gießereimechaniker/Gießereimechanikerin Schwerpunkt Maschinenformguss
B 63132-104,3423.1,Animateur/Animateurin - Freizeit
B 23212-141,7321.1.1,DTP-Fachkraft
B 33322-107,7115.5,Treppenbauzimmerer/Treppenbauzimmerin
B 73394-105,1349.16,Bibliotheksleiter/Bibliotheksleiterin
B 27212-102,3118.3.6,Technischer Zeichner/Technische Zeichnerin Fachrichtung Elektrotechnik
B 27212-136,3118.3.6,Technischer Systemplaner/Technische Systemplanerin Fachrichtung Elektrotechnische Systeme
B 31213-104,2165.1,Katastertechniker/Katastertechnikerin
B 43104-132,2511.4,Data Scientist
B 94214-100,2655.1,Schauspieler/Schauspielerin
B 25102-116,7233.7,Industriemechaniker/Industriemechanikerin
B 25102-111,7233.7,Betriebsschlosser/Betriebsschlosserin
B 26323-100,3114.1.8,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Mikrosystemtechnik
B 43394-112,2529.1,Leiter/Leiterin - Informations-/Cybersicherheit
B 51332-100,3359.5.1,Seegüterkontrolleur/Seegüterkontrolleurin
B 94283-134,2659.2.3,Puppenspieler (Hochschule)/Puppenspielerin (Hochschule)
B 81532-100,3240.1,Tierheilpraktiker/Tierheilpraktikerin
B 27312-132,7543.2,Testfahrer/Testfahrerin
B 84583-123,3422.4.3,Eislauflehrer/Eislauflehrerin
B 61113-101,3323.2,Einkäufer/Einkäuferin
B 33322-103,7115.1,Zimmerer/Zimmerin
B 33322-114,7115.1,Ausbaufacharbeiter/Ausbaufacharbeiterin Schwerpunkt Zimmerarbeiten
B 29282-105,8160.15,Tiefkühlkosthersteller/Tiefkühlkostherstellerin
B 94622-100,3435.7,Ankleider/Garderobier / Ankleiderin/Garderobiere
B 27232-122,7222.1,Technischer Modellbauer/Technische Modellbauerin Fachrichtung Gießerei
B 27232-101,7222.1,Modellbaumechaniker/Modellbaumechanikerin Fachrichtung Gießereimodellbau
B 28102-106,7233.15,Produktionsmechaniker/Produktionsmechanikerin - Textil
B 21123-102,7542.1,Sprengberechtigter/Sprengberechtigte
B 28102-107,8152.2,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin Schwerpunkt Textiltechnik
B 11282-105,5164.6,Hundezüchter/Hundezüchterin
B 62112-101,5230.1,"Kassierer/Kassiererin (Eintrittsgelder, Beiträge, Fahrkarten)"
B 62112-104,5230.1,Kassierer/Kassiererin (Handel)
B 25131-100,9623.1,Zählerableser/Zählerableserin
B 28224-101,2141.1,Ingenieur/Ingenieurin für Bekleidungstechnik
B 84494-114,1345.1.4,Schulleiter in der Erwachsenenbildung/Schulleiterin in der Erwachsenenbildung
B 11342-100,9332.1,Kutscher/Kutscherin
B 94533-100,3435.3,Tontechniker/Tontechnikerin
B 71104-126,1221.4,Kaufmännischer Geschäftsführer/Kaufmännische Geschäftsführerin
B 63383-100,5131.2.2.3,Sommelier/Sommelière
B 22342-120,7115.7,Geprüfter Bildeinrahmer/Geprüfte Bildeinrahmerin
B 41254-126,5419.9,Tierschutzbeauftragter/Tierschutzbeauftragte
B 62312-100,5223.7.4,Fachverkäufer/Fachverkäuferin im Nahrungsmittelhandwerk Schwerpunkt Bäckerei/Konditorei
B 32193-110,3123.1.6,Gerüstbau-Kolonnenführer/Gerüstbau-Kolonnenführerin
B 54132-103,9121.2,Bügler/Büglerin
B 23423-101,7323.3,Buchbinder/Buchbinderin für Restaurierungsarbeiten
B 23423-102,7323.3,Geprüfter Restaurator im Buchbinderhandwerk/Geprüfte Restauratorin im Buchbinderhandwerk - Master Professional für Restaurierung im Handwerk
B 94593-118,2654.1.4,Leiter/Leiterin der Beleuchtung
B 51394-100,1324.3.4,Leiter/Leiterin - Lagerwirtschaft
B 63322-102,5132.1,"Barmixer, Barkeeper/Barmixerin, Barkeeperin"
